entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
d25a371e-94d6-72d0-2542-f3860a607c2e						Success unlimited.  Vol. 5, no. 1, Jan. 1958.	B692604	1958-01-01	RE309361	1986-11-14	W. Clement Stone|PCW						
9029c530-778c-7f23-3804-223fecaa0b30						Scholastic coach.  Vol. 27, no. 5, Jan. 1958.	B692626	1958-01-01	RE291898	1986-04-10	Scholastic, Inc.|PCW						
8481b28e-d6ea-0cad-e16e-728d41d3f199						Literary cavalcade.  Vol. 10, no. 4, Jan. 1958.	B699367	1958-01-01	RE291937	1986-04-10	Scholastic, Inc.|PCW						
5a8435a6-0dec-b456-210d-53cb881f9d12						The Good news.  Vol. 7, no. 1, Jan. 1958.	B706020	1958-01-01	RE280569	1986-01-10	Worldwide Church of God|PWH						
b56d1f56-997c-1f5b-34ba-6b45fc41a91c						Chicago, heart of the Midwest.	F24184	1958-01-01	RE302655	1986-09-08	Rand McNally & Company|PWH						
c46e14a4-cdc0-fbb4-350d-b11725c23404						Colorprint general map of South America.	F24516	1958-01-01	RE307030	1986-10-14	American Map Corporation|PWH						
bfc9ec4e-ac28-f043-c51f-c3538b6fc090						Colorprint map of Europe.	F24635	1958-01-01	RE307031	1986-10-14	American Map Corporation|PWH						
08f96fd7-b21d-4145-301f-7e17adb0813a						National Wildlife conservation stamps, 1958.	K51558	1958-01-01	RE294851	1986-05-30	National Wildlife Federation|PWH						
6e274312-4bbe-771d-20c8-1629bd752dd7					John L. Ashby.	1959 A Guide to daily Catholic living; Catholic missal calendar.	K54498	1958-01-01	RE290316	1986-03-21	Paul A. Sieber|PCW						
7667eaf4-20d5-2e56-d9ef-c7e6a53c9870					Thurman Warriner.	The Golden lantern.	TX1975102	1958-01-01	RE318890	1986-12-10	John Gregory Warriner|C						
f57dac00-0e2e-3def-bbad-27e516487954						Borstal boy.  Text: Brendan Behan.	UCC work	1958-01-01	RE296636	1986-06-20	Beatrice Behan|W						
b9e7cc3c-7b6a-8e7e-2734-8120f2afb81e						The Hostage.  Text: Brendan Behan.	UCC work	1958-01-01	RE296635	1986-06-20	Beatrice Behan|W						
51abc61a-b2e1-b8d6-f3cd-ee574fcab25b						The Big city.  Artwork: Ronald Searle.	UCC work	1958-01-01	RE299501	1986-07-15	Ronald Searle|A						
4a4dccc4-c797-708b-3bef-2ea66a29efd4						Tim and Lucy go to sea.  Text and artwork: Edward Ardizzone.	UCC work	1958-01-01	RE299499	1986-08-05	Catherine Ardizzone|W						
22d41ede-8c72-fccb-d208-1d3abf74ea27						Pagan mysteries in the Renaissance.  Text: Edgar Wind.	UCC work	1958-01-01	RE301546	1986-08-12	Margaret Wind|W						
ba55cc7a-b11d-306f-0f2a-5db2f5f75fb5						Clicky gets into trouble.  Text: Enid Blyton.	UCC work	1958-01-01	RE306025	1986-10-07	Gillian Baverstock|C						
651a857a-b6f5-b19e-f5d0-8c1d1adbfa0e						Mary Mouse goes to the fair.  Text: Enid Blyton.	UCC work	1958-01-01	RE306024	1986-10-07	Gillian Baverstock|C						
087dff59-3614-1197-6cf3-be6214824c9c						Rumble and Chuff.  Text: Enid Blyton.	UCC work	1958-01-01	RE306026	1986-10-07	Gillian Baverstock|C						
890b4a53-1ae9-c89e-7c73-faa5a4cbd9ef					Ronald Searle & Geoffrey Williams (Geoffrey Willans)	The Compleet Molesworth.|The Complete Molesworth	UCC work	1958-01-01	RE314833	1986-11-18	Ronald Searle|A						
